"Quais países lutaram entre si na guerra dos 100 anos?","2","[""Alemanha e Itália"", ""Inglaterra e França"", ""Japão e China"", ""Estados Unidos e México""]"
"Quais dos países abaixo não faz parte da União Européia?","5","[""França"", ""Alemanha"", ""Bélgica"", ""Portugal"", ""Noruega""]"
"Qual dos países abaixo é mulçumano e não é árabe?","3","[""Egito"", ""Barain"", ""Irã"", ""Iêmen""]"
"Quais foram os países que fizeram parte do Eixo na Segunda Guerra Mundial?","4","[""Estados Unidos, Inglaterra e Austrália."", ""Alemanha, Irã e Líbia."", ""Rússia, Alemanha e Itália."", ""Alemanha, Itália e Japão.""]"
"Quais são os integrantes do Reino Unido?","1","[""Inglaterra, Escócia, País de Gales e Irlanda do Norte"", ""Inglaterra, França, Alemanha e Holanda"", ""Inglaterra, Escócia, País Basco e Irlanda"", ""Bélgica, França, Luxemburgo e Irlanda""]"
"Qual dos conjuntos abaixo é composto apenas por países africanos?","3","[""África do Sul, Sudão, Belize e Iêmen"", ""Angola, Moçambique, Haiti e Vanuatu"", ""Congo, Costa do Marfim, Líbia e Marrocos"", ""Madagascar, Mauritânia, Iraque e Índia""]"
"Qual dos países abaixo não é uma monarquia?","2","[""Reino Unido"", ""Filipinas"", ""Espanha"", ""Tailândia""]"
"Em que país da atualidade ficava a antiga Suméria?","3","[""Tailândia"", ""Irã"", ""Iraque"", ""Arábia Saudita""]"
"Considere uma população formada por duas etnias: os acanos e os besuros. Todos os acanos tem cabelo preto. Algus besuros tem cabelos pretos e outros não. Ao ir pela primeira vez ao país, você encontra uma mãe e um filho. A mãe tem cabelos castanhos e o filho tem cabelos pretos. O que você pode afirmar com certeza sobre o pai do garoto?","5","[""O pai do garoto é acano."", ""o pai do garoto é besuro"", ""o pai do garoto não é acano"", ""o pai do garoto não é besuro"", ""o pai do garoto pode ser tanto acano quanto besuro.""]"
"Qual do países abaixo não fica na América do Sul?","2","[""Bolívia"", ""Nicarágua"", ""Perú"", ""Equador""]"
"Qual dos animais abaixo você pode encontrar na floresta amazônica?","4","[""urso"", ""leão"", ""tigre"", ""arara"", ""águia""]"
"Em uma sala de aula há dois meninos para cada menina. Sessenta por cento dos alunos desta sala não passaram na última prova. Com estes dados, nós podemos com certeza afirmar:","1","[""Alguns meninos não passaram na prova."", ""Todas as meninas não passaram na prova."", ""Algumas meninas não passaram na prova"", ""Todos os meninos passaram na prova."", ""todos os meninos não passaram na prova.""]"
"Você recebe um saco completamente, preto, e é informado que há três tipos de objetos dentro: bolas, cubos e pirâmides. Você é também informado que todas as bolas são brancas, todas as pirâmides são azuis e que nenhum quadrado é azul. Se te falarem que um dos objetos do saco é branco, o quê você pode com certeza afirmar?","5","[""O objeto é uma bola"", ""O objeto é um triângulo"", ""O objeto é um quadrado"", ""O objeto não é um triângulo e nem um quadrado"", ""O objeto não é um triângulo.""]"
"Qual dos conjuntos de países abaixo estão todos localizados em ilhas?","2","[""Cingapura, Japão, Coréia do Sul e Chile"", ""Madagascar, Nova Zelândia, República Dominicana e Haiti"", ""Cuba, Dinamarca, Belize e Costa do Marfim"", ""Costa Rica, Japão, Austrália e Vietnã"", ""Qatar, Islândia, Mônaco e Bolívia""]"
"Quais dos países abaixo não ficam no continente asiático?","4","[""Japão"", ""Índia"", ""Israel"", ""Djibuti"", ""Laos""]"
"Uma população é composta metade por homens e metade por mulheres. Nesta população, dois de cada 5 homens gostam de Rock, ada 10 mulheres também são fãs do estilo. Qual é a porcentagem da população total que gosta de rock?","4","[""70%"", ""21%"", ""45%"", ""35%"", ""50%""]"
"Qual dos grupos abaixo é composto somente por capitais européias?","3","[""Berlim, Paris, Tripoli e Moscou"", ""Lisboa, Madrí, Bucareste e Tel Aviv"", ""Sofia, Praga, Viena e Helsinki"", ""Roma, Bratislava, Budapeste e Washington"", ""Atenas, Estocolmo, Windhoek e Cairo.""]"
"Kiev é a capital de que país?","3","[""Bulgária"", ""Hungria"", ""Ucrânia"", ""Geórgia"", ""Turquia""]"
"Dos animais abaixos, qual não é um mamífero?","3","[""Baleia"", ""Morcego"", ""Ema"", ""Golfinho"", ""Tigre""]"
"Qual dos países abaixo não tem o português como língua oficial?","1","[""Gana"", ""Angola"", ""Moçambique"", ""Cabo Verde"", ""Portugal""]"
"Qual dos grupos abaixo pode doar sangue para qualquer outra pessoa?","5","[""AB -"", ""B +"", ""A -"", ""O +"", ""O -""]"
"Em uma padaria, um pão custa R$ 2, um bolo custa 75% a mais que um pão e um doce custa metade do valor de um bolo. Se você for até lá e comprar 3 pães, 1 bolo e 2 doces, quanto você iria pagar?","2","[""9 reais"", ""13 reais"", ""12 reais"", ""10 reais"", ""15 reais""]"
"Como é representado o número 33 no sistema hexadecimal?","1","[""21"", ""27"", ""2d"", ""3e"", ""125""]"
"Quantos anagramas únicos (repetições descartadas) é possível criar com as letras da palavra arara?","3","[""8"", ""10"", ""30"", ""60"", ""120""]"
